DISTANCE	RL	AIR	ADR	IR	DR	AVG_GAP_SIZE	MSA_LEN	MSA_MAX_LEN	MSA_MIN_LEN	TOT_NUM_GAPS	NUM_GAPS_LEN_ONE	NUM_GAPS_LEN_TWO	NUM_GAPS_LEN_THREE	NUM_GAPS_LEN_AT_LEAST_FOUR	AVG_UNIQUE_GAP_SIZE	TOT_NUM_UNIQE_GAPS	NUM_GAPS_LEN_ONE_POS_1_GAPS	NUM_GAPS_LEN_ONE_POS_2_GAPS	NUM_GAPS_LEN_ONE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_TWO_POS_1_GAPS	NUM_GAPS_LEN_TWO_POS_2_GAPS	NUM_GAPS_LEN_TWO_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_THREE_POS_1_GAPS	NUM_GAPS_LEN_THREE_POS_2_GAPS	NUM_GAPS_LEN_THREE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_2_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_N_MINUS_1_GAPS	MSA_POSITION_WITH_0_GAPS	MSA_POSITION_WITH_1_GAPS	MSA_POSITION_WITH_2_GAPS	MSA_POSITION_WITH_N_MINUS_1_GAPS
input_msa						0.0	89	89	89	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0
input_msa						1.0	69	69	68	2	2	0	0	0	1.0	2	2	0	0	0	0	0	0	0	0	0	0	0	67	2	0	0
input_msa						0.0	64	64	64	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0
input_msa						0.0	76	76	76	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0
input_msa						20.0	89	89	50	2	1	0	0	1	20.0	2	1	0	0	0	0	0	0	0	0	1	0	0	49	40	0	0
input_msa						2.8	69	67	63	5	0	1	4	0	2.66667	3	0	0	0	1	0	0	1	0	1	0	0	0	61	5	0	3
input_msa						1.25	79	79	76	4	3	1	0	0	1.5	2	0	0	1	1	0	0	0	0	0	0	0	0	76	2	0	1
input_msa						0.0	79	79	79	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0
input_msa						1.0	69	69	68	1	1	0	0	0	1.0	1	1	0	0	0	0	0	0	0	0	0	0	0	68	1	0	0
input_msa						2.66667	64	64	58	3	0	2	0	1	3.0	2	0	0	0	0	1	0	0	0	0	1	0	0	58	4	2	0
input_msa						4.33333	86	86	77	3	1	0	1	1	4.33333	3	1	0	0	0	0	0	1	0	0	1	0	0	73	13	0	0
input_msa						0.0	63	63	63	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0
input_msa						1.25	92	91	88	8	7	0	1	0	1.5	4	1	0	2	0	0	0	1	0	0	0	0	0	87	2	1	2
input_msa						26.25	121	121	82	4	0	0	0	4	19.5	2	0	0	0	0	0	0	0	0	0	1	0	1	82	6	0	33
input_msa						0.0	74	74	74	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0
input_msa						14.0	90	90	65	5	1	0	1	3	8.66667	3	1	0	0	0	0	0	1	0	0	0	0	1	65	2	1	22
input_msa						2.875	85	84	72	8	3	3	0	2	3.8	5	0	0	1	1	1	0	0	0	0	2	0	0	70	10	2	3
input_msa						21.3333	85	85	26	3	0	1	1	1	21.3333	3	0	0	0	1	0	0	1	0	0	1	0	0	24	58	3	0
input_msa						1.5	90	90	87	6	3	3	0	0	1.5	2	0	0	1	0	0	1	0	0	0	0	0	0	87	0	0	3
input_msa						3.25	72	72	67	4	1	0	0	3	2.5	2	1	0	0	0	0	0	0	0	0	0	0	1	67	1	0	4
input_msa						8.0	80	79	64	6	3	0	0	3	8.0	2	0	0	1	0	0	0	0	0	0	0	0	1	64	0	0	16
input_msa						10.4	74	71	40	5	0	0	1	4	11.75	4	0	0	0	0	0	0	1	0	0	2	1	0	30	39	2	3
input_msa						2.75	77	77	68	4	3	0	0	1	4.5	2	0	0	1	0	0	0	0	0	0	1	0	0	68	8	0	1
input_msa						10.0	75	75	57	4	0	1	0	3	10.0	3	0	0	0	1	0	0	0	0	0	1	1	0	55	10	0	10
input_msa						10.6667	75	75	48	3	1	0	0	2	10.6667	3	1	0	0	0	0	0	0	0	0	2	0	0	48	23	3	1
input_msa						0.0	91	91	91	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0
input_msa						1.75	87	87	84	4	1	3	0	0	1.5	2	1	0	0	0	0	1	0	0	0	0	0	0	84	1	0	2
input_msa						1.0	74	74	72	4	4	0	0	0	1.0	2	1	0	1	0	0	0	0	0	0	0	0	0	72	1	0	1
input_msa						0.0	68	68	68	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0
input_msa						1.0	70	70	69	3	3	0	0	0	1.0	2	1	1	0	0	0	0	0	0	0	0	0	0	68	1	1	0
input_msa						16.0	101	101	63	4	0	0	0	4	19.0	2	0	0	0	0	0	0	0	0	0	1	0	1	63	25	0	13
input_msa						0.0	79	79	79	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0
input_msa						0.0	72	72	72	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0
input_msa						10.0	80	80	56	4	1	0	0	3	10.0	4	1	0	0	0	0	0	0	0	0	3	0	0	55	12	11	2
input_msa						1.75	67	65	62	8	2	6	0	0	1.5	4	2	0	0	0	0	2	0	0	0	0	0	0	61	2	0	4
input_msa						6.1	93	84	73	10	1	0	3	6	5.25	4	1	0	0	0	0	0	0	0	1	0	0	2	72	1	0	20
input_msa						6.125	91	90	70	8	3	0	1	4	5.25	4	0	0	1	0	0	0	1	0	0	1	0	1	70	7	0	14
input_msa						7.66667	76	76	56	3	1	1	0	1	7.66667	3	1	0	0	1	0	0	0	0	0	1	0	0	53	23	0	0
input_msa						5.33333	80	80	64	9	3	0	3	3	5.33333	3	0	0	1	0	0	0	0	0	1	0	0	1	64	0	0	16
input_msa						1.85714	93	91	89	7	3	2	2	0	2.0	4	0	0	1	2	0	0	0	1	0	0	0	0	87	2	1	3
input_msa						2.0	77	77	75	2	0	2	0	0	2.0	1	0	0	0	0	1	0	0	0	0	0	0	0	75	0	2	0
input_msa						6.42857	118	109	90	14	3	7	0	4	5.66667	6	0	0	1	1	0	2	0	0	0	1	0	1	84	6	0	28
input_msa						10.0	75	75	65	1	0	0	0	1	10.0	1	0	0	0	0	0	0	0	0	0	1	0	0	65	10	0	0
input_msa						13.0	79	79	54	2	1	0	0	1	13.0	2	1	0	0	0	0	0	0	0	0	1	0	0	53	26	0	0
input_msa						0.0	91	91	91	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0
input_msa						1.0	75	75	74	3	3	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	74	0	0	1
